Transaction_ID,Customer_ID,Amount,Transaction_Type,Timestamp,Hour,Is_Night,IsoForest_Score,LOF_Score,Unsupervised_Score,Supervised_Score,Fraud_Risk_Score,Fraud_Flag
44,98,14338,Payment,2025-09-19 10:47:51.201124,10,0,0.6278246689073255,0.41510967049519665,0.5214671697012611,0.8848377,0.7394894920107534,1
40,88,11795,Withdrawal,2025-04-22 10:47:51.201088,10,0,0.4325492954581194,0.25889637592009607,0.3457228356891077,0.8949667,0.6752691671964806,1
99,79,20067,Withdrawal,2025-09-07 10:47:51.201647,10,0,0.5263654870345508,0.06066321708835262,0.2935143520614517,0.9185856,0.6685571356686358,1
88,56,20044,Transfer,2025-02-24 10:47:51.201549,10,0,0.32557310290040814,0.037456885149635744,0.18151499402502194,0.9813074,0.6613904538630605,1
123,40,20222,Payment,2025-11-13 10:47:51.201860,10,0,0.2683849280044586,0.11163804530230338,0.190011486653381,0.9187213,0.6272374094501707,0
199,28,21338,Withdrawal,2025-03-30 10:47:51.202591,10,0,0.43195996277212007,0.17163619179045891,0.3017980772812895,0.79974204,0.6005644865258428,1
150,89,35538,Payment,2025-11-15 10:47:51.202109,10,0,0.4607285448731517,0.08299547832978414,0.2718620116014679,0.7863761,0.5805704937179645,1
53,63,17532,Withdrawal,2025-09-05 10:47:51.201204,10,0,0.20211276297826997,0.03311807090918356,0.11761541694372676,0.8749575,0.5720206917523137,0
56,98,13311,Withdrawal,2025-03-27 10:47:51.201231,10,0,0.6731572829252266,0.5498749152115527,0.6115160990683897,0.4406796,0.5090142233740752,0
179,66,33370,Withdrawal,2025-09-05 10:47:51.202366,10,0,0.08800304626630247,0.03855849551300696,0.06328077088965471,0.736572,0.4672555366006434,1
188,64,26680,Payment,2025-04-10 10:47:51.202451,10,0,0.09734453571756899,0.043342099554934975,0.07034331763625198,0.72636306,0.4639551945719721,0
169,39,155,Transfer,2025-11-18 10:47:51.202277,10,0,0.9902784608005704,1.0,0.9951392304002852,0.006983298,0.4022456709794546,0
132,98,21854,Payment,2025-05-08 10:47:51.201940,10,0,0.5216080051352041,0.5078106404312337,0.5147093227832189,0.18933693,0.31948589052075826,0
122,81,29809,Payment,2025-10-10 10:47:51.201851,10,0,0.141127609823923,0.05537157636751959,0.09824959309572129,0.46461442,0.318068495876289,0
128,58,17823,Transfer,2025-05-30 10:47:51.201904,10,0,4.0079886707792895e-07,0.0011803523084280788,0.0005903765536475784,0.52924305,0.31778198182491973,0
22,65,24910,Withdrawal,2025-11-24 10:47:51.200929,10,0,0.04264235826036621,0.027577609647619912,0.03510998395399306,0.5020666,0.31528396092778865,0
192,83,949,Withdrawal,2025-03-09 10:47:51.202487,10,0,0.8438050806078095,0.7006159433743849,0.7722105119910971,0.0051201233,0.3119562789452428,0
197,98,33712,Transfer,2025-04-21 10:47:51.202574,10,0,0.9437320936736685,0.5730737718685996,0.7584029327711341,0.0051010065,0.30642177708842866,0
95,98,8761,Payment,2025-12-06 10:47:51.201611,10,0,1.0,0.4767136863419696,0.7383568431709848,0.007915218,0.3000918686573562,0
121,77,17017,Transfer,2025-02-09 10:47:51.201842,10,0,0.3881731060054395,0.04120957245793913,0.21469133923168932,0.33087754,0.2844030671505767,0
