Rank,Project_ID,Department,Investment_Cost,NPV,Forecasted_ROI,Expected_Payback_Period,Forecasted_Payback_Period,Predicted_Success_Prob,Recommendation
1,43,IT,664685,3653868.0428249426,5.4672666769665215,0.6895716405058564,0.6290460412404205,0.7213321410624176,Fund
2,35,IT,296769,3690875.906085649,15.45568669813112,0.1643069073135838,0.1765985179265263,0.700554754035534,Fund
3,3,Finance,2516182,2121151.6213373393,0.6387220847249965,1.572136258544934,2.2028297597101107,0.7775780310710568,Fund
4,36,Finance,2758505,1079104.556724267,0.43842082827982265,1.6678528290872214,2.2534484421402805,0.6788077333245236,Fund
5,40,Operations,3147262,985981.1930879029,0.4285433730478153,1.9553076677097372,2.3438303325287504,0.6997977245637653,Fund
6,10,IT,2670406,1077058.1472577006,0.5728899612347694,2.0320643508075618,2.0783414208318365,0.6729962446468095,Fund
7,42,Operations,2685031,853386.0473328317,0.3564949197733464,2.290422101411828,2.4345124160603753,0.7717910130261572,Fund
8,27,IT,2657489,128161.30803906778,0.5110572215127723,2.645586001648698,2.319823752455533,0.6849794128844369,Fund
9,11,Operations,3516664,53253.06987227639,0.0936983234856028,1.905962200987108,2.689108692436315,0.7098110504744118,Fund
10,49,IT,123247,4281886.7716002995,37.02129815567719,0.08985080393822197,0.1332898643871127,0.5773160293225634,Review
11,37,Marketing,1371741,3079458.999999999,2.5632789512648113,0.7244855814936094,0.7897587765596499,0.5706004603449111,Review
12,13,Operations,3485357,1569700.2652141238,0.2578370097305466,1.8494430335557648,2.4999190674406746,0.6448268353007099,Review
13,41,Operations,1684398,1937934.1412471822,1.5388966231893149,1.7692880332113239,1.5768462723972352,0.6127633929317118,Review
14,7,Finance,628178,2054604.982719759,5.146278059910271,0.6435755449120201,0.7021925541841119,0.5373275654534353,Review
15,33,Marketing,2195505,2075820.3719008258,0.876600785824589,1.613224586622127,1.8781880309800703,0.5261920661451941,Review
16,31,Finance,371836,2098878.8985725013,9.589742686194105,2.009567746999243,0.5401590304373022,0.5169236271351884,Review
17,9,Operations,2686644,1360695.2937640864,0.5727169539027993,1.6680626201810191,2.046149132622794,0.6363280108700446,Review
18,20,Operations,3103758,979412.1953418474,0.44417816505937674,2.3056839062816405,2.2841178154034933,0.6407158744247078,Review
19,28,IT,1873415,338974.1660405705,0.8216297691461187,2.4070362728078574,1.9787102692218863,0.5892029847921458,Review
20,1,Operations,184654,3706072.0405709986,24.43764491952459,0.3164289288431616,0.23396404735238624,0.3989809439313915,Reject
21,16,Finance,168148,3290089.806160781,24.43899766604893,0.534291669844175,0.2478308290814231,0.42167137212450095,Reject
22,39,Finance,1146797,2131233.1051840717,2.4891829862565817,1.8006138383982953,1.2987239794662957,0.4724033609297677,Reject
23,45,Marketing,1411736,2806794.255447032,2.194231267386398,0.8303171851924173,0.8824223910861042,0.331998890574694,Reject
24,46,Marketing,1107293,2887763.408715251,2.83764508330773,0.6339894466112583,0.894114835659294,0.32226488595225306,Reject
25,18,Marketing,2845683,1574201.8534936123,0.4822994984376001,2.052109608809134,2.302826443850853,0.37042284314220897,Reject
26,25,Marketing,1970928,1670666.102178812,0.9968115149599497,1.1752061972593444,1.6849320496780886,0.48285705867050704,Reject
27,15,Marketing,1565689,1075732.0217881287,1.3853808709881095,1.5868106696807882,1.6710804699160065,0.4697000292856683,Reject
28,30,Marketing,4010197,300317.19984973595,-0.020044412424106324,2.247945529304244,inf,0.31434888279012374,Reject
29,17,Marketing,1925665,210396.20961682918,0.818667544218697,1.8625423683317919,1.6687714318395899,0.18509665667802164,Reject
30,50,IT,2804238,59538.76934635546,0.3522436025955653,2.4783140933014103,2.387793624157905,0.49929513560670874,Reject
31,2,Marketing,2054354,-81821.26521412516,0.8176271153568881,2.235458187352823,1.5583271259098557,0.22436459346610216,Reject
32,6,Marketing,2528388,-252242.5830202857,0.35661639233816583,2.742149052563472,2.2820765556534512,0.20392998763218695,Reject
33,19,Marketing,3497723,-396825.8024042081,0.06591059253142187,2.8273819581403594,2.871601814421234,0.39596417027165404,Reject
34,8,Finance,2763046,-327586.5860255454,0.2895840709591472,2.8529464341281328,2.5752467351762167,0.6501325683312243,Reject
35,29,Marketing,2405413,-962472.0833959433,0.17920295506976117,inf,2.4740123054868217,0.2794462252271852,Reject
36,44,Marketing,2979190,-969195.9353869273,0.19981110330663202,inf,2.3675687982379547,0.3676945487034575,Reject
37,5,Operations,2752991,-650972.7505634865,0.14115160318492417,inf,2.59668927106372,0.5784119243444752,Reject
38,34,IT,2399435,-573499.2674680697,0.25348758919204545,inf,2.5314438915930393,0.35809987470018206,Reject
39,24,Marketing,4898669,-823413.5229151016,-0.19226545104351073,2.9832789267192537,inf,0.427320742974221,Reject
40,21,IT,4156518,-906166.4898572504,-0.16929264190898818,inf,inf,0.6384503208477015,Reject
41,4,Operations,3574675,-688352.9864763338,-0.0487848731762804,inf,inf,0.6393046797494376,Reject
42,48,Operations,3466612,-516582.2704733284,0.15911518641789582,2.935845028899117,2.6798144373676567,0.5792626424564604,Reject
43,22,Finance,2769995,-1106185.7588279492,0.1367853594853134,inf,2.7377209936691345,0.629956316974677,Reject
44,32,Finance,3684702,-1366451.6018031556,-0.19753236921626022,inf,inf,0.6502404798546448,Reject
45,38,Finance,3869315,-1241652.4830954177,-0.08444737611451457,inf,inf,0.5866287837236175,Reject
46,12,Operations,3485659,-1476909.2479338844,-0.10695698150516142,inf,inf,0.3717641661185114,Reject
47,47,Marketing,4874183,-3809638.8226897074,-0.42802710440041564,inf,inf,0.17162862305981225,Reject
48,14,Operations,2895513,-2576400.648384673,-0.06693580460258855,inf,inf,0.43433783945270527,Reject
49,26,IT,4255299,-2321988.3613824197,-0.3398288994040531,inf,inf,0.6932094291342508,Reject
50,23,IT,4550812,-2817291.4590533436,-0.46743162506514907,inf,inf,0.5810384439687937,Reject
